Approval number	Name	Place	Region	Associated Activities	Remark	adr2	lat	lng
RS-30-15	INBERG  BOLJEVCI	Beograd (Novi Beograd)	Grad Beograd	CAT3		INBERG  BOLJEVCI , Beograd (Novi Beograd) , Grad Beograd , Serbia	44.8107891	20.4118382
RS-30-194	Eco Feed 	Sečanj	Srednje-banatski okrug	CAT3		Eco Feed  , Sečanj , Srednje-banatski okrug , Serbia	45.3665658	20.772417
RS-35-002	MKM BAITS	Kać	Južno-bački okrug	CAT3		MKM BAITS , Kać , Južno-bački okrug , Serbia	45.3022985	19.9420568
RS-40-004	Jelidej 	Mramor	Nišavski okrug	CAT3		Jelidej  , Mramor , Nišavski okrug , Serbia	43.3123978	21.7812312
RS-40-005	Agrokožar 	Bresnica	Pčinjski okrug	CAT3		Agrokožar  , Bresnica , Pčinjski okrug , Serbia		
RS-40-006	Dermax 	Bresnica	Pčinjski okrug	CAT3		Dermax  , Bresnica , Pčinjski okrug , Serbia		
RS-40-007	Petrović 	Svrljig	Nišavski okrug	CAT3		Petrović  , Svrljig , Nišavski okrug , Serbia	43.414844	22.131025
RS-40-009	Nokekožar 	Kupinince	Pčinjski okrug	CAT3		Nokekožar  , Kupinince , Pčinjski okrug , Serbia	42.5042652	21.8901512
RS-40-012	Kotex-promet 	Mladenovac (selo)	Grad Beograd	CAT3		Kotex-promet  , Mladenovac (selo) , Grad Beograd , Serbia	44.4306847	20.6944656
RS-40-013	Leder Produkt 	Mladenovac (varoš)	Grad Beograd	CAT3		Leder Produkt  , Mladenovac (varoš) , Grad Beograd , Serbia	44.7854778	20.4746955
RS-40-014	Farmex 	Novi Sad	Južno-bački okrug	CAT3		Farmex  , Novi Sad , Južno-bački okrug , Serbia	45.2671352	19.8335496
RS-40-022	Kulakoža 	Kula	Zapadno-bački okrug	CAT3		Kulakoža  , Kula , Zapadno-bački okrug , Serbia	45.6146977	19.53816
RS-41-001	Prekon 	Zrenjanin	Srednje-banatski okrug	CAT3		Prekon  , Zrenjanin , Srednje-banatski okrug , Serbia	45.36435669999999	20.4179305
RS-41-005	Bačka Topola  A.d. RJ  Žibel 	Bačka Topola	Severno-bački okrug	CAT3		Bačka Topola  A.d. RJ  Žibel  , Bačka Topola , Severno-bački okrug , Serbia	45.7937134	19.6307981
RS-41-009	Evrotom 	Ruma	Sremski okrug	CAT3		Evrotom  , Ruma , Sremski okrug , Serbia	45.002176	19.8410857
